"s.area"	"s.perimeter"	"s.radius.mean"	"s.radius.sd"	"s.radius.min"	"s.radius.max"
7089	389	47.7482138041677	9.37765262783135	26.3858670920018	63.639170793762
3520	258	33.0562408362553	4.94257460160582	20.2188435504397	44.6933055053861
2685	210	29.1772991271887	2.99026390601017	21.5342631588804	37.1523339558545
2413	186	27.466053845209	3.02520149515482	21.251225369851	35.3766455848838
2621	242	28.8631807609161	6.35213657478222	16.7280449508157	41.5328333756209
1280	174	20.628272428437	4.92213188560138	11.2088268305222	31.2510208579458
1379	139	21.3153280093883	5.09724732601617	13.7416569208704	30.8307990636332
1121	148	18.553239167453	3.17278000761688	12.2546725633437	25.0494370581869
986	111	17.2047877029932	1.79439572620205	12.8396458344381	20.2715955522717
1089	168	18.6438412946408	3.84529475561655	8.07122664447519	24.7867463533354
1266	211	19.838821244731	4.40187415463428	11.0287058747385	29.7246787011669
892	169	15.9828522450403	3.75102113337068	7.11895062506901	23.0314717022469
1242	219	21.1422471270817	5.98328143764428	7.46469767576059	32.3160092077678
959	151	18.4967596548845	6.05030294826423	9.34292280658933	29.9532551042136
970	169	17.6809720681054	4.48552846792662	6.73307262751988	27.775248775164
737	121	15.1299715898507	3.18339827489247	8.91509174005272	20.9720282321852
783	172	15.8568541127799	4.61861905238416	5.6095372169184	23.626491356833
810	155	15.4622876856216	3.1410859958987	6.07105344288343	22.4070757740732
948	144	17.5179726491303	4.76686653836349	7.72093876724386	26.4207747784196
502	87	12.1100090730537	1.92213988105694	6.37777759364133	15.59649831461
906	139	16.5781634410209	4.57826061033062	6.90759133660918	26.2940428343987
523	103	12.6511030561001	2.18196654935794	6.95647158669994	16.7330343537607
590	111	13.1218745223872	2.78336064190892	6.11650675615922	18.7668707749034
445	86	11.5936589957324	1.85679062232986	8.60028959226658	15.6007559343133
690	107	15.3860813000529	4.5575778207041	6.2068529883964	22.9398191883327
460	97	12.0590047056189	4.07709522030868	4.90097497897098	19.7520446304858
459	98	12.0212102595884	3.40077409000043	5.98354330676695	18.6505658581848
436	99	11.927152112601	2.9121329383557	5.85600779221853	17.5918914686381
401	93	10.7858406462888	2.66389323758688	3.18252323739356	14.9727157722776
534	135	14.9602983664524	5.45354815366685	4.80548954496874	25.4928484551922
