"s.area"	"s.perimeter"	"s.radius.mean"	"s.radius.sd"	"s.radius.min"	"s.radius.max"
23591	955	88.7725234530165	20.0227441394943	49.8628380549835	129.797103046299
13642	852	67.0133162587128	10.3414359783895	42.1069252096309	95.022867054649
12026	766	61.5061497665538	11.6146815599572	34.7973810251558	88.1522761115737
7031	581	48.2688603721807	10.1103111682339	28.527884721075	75.288100241567
5586	412	42.1879017046477	9.67977267101309	22.399125314935	59.9103491985129
8897	699	55.3753308147253	16.2507330898375	25.7032977580214	97.5168082898654
4325	349	38.3482582752686	8.34091753449149	22.1761135011602	59.6281270406143
6908	624	46.4582479406843	11.3987025852684	21.0940083414915	66.8346755403031
5194	546	42.3184597370513	12.1114234493713	17.1686803603475	66.1368450006082
2353	428	34.5411289290513	13.7373296914028	8.59362501298673	62.3199081482915
3380	404	31.8276102693921	6.44264960257143	17.4104624725898	45.5193946864232
3765	424	35.8983518234127	8.79230525813923	17.5411625571244	56.5910847609542
2071	183	24.9957784429728	2.68038880374167	18.5891535723228	30.4714202197327
4449	544	38.5292193011428	10.579970863946	16.525911653348	71.5173201364793
4515	493	38.2206377250037	10.6295327022325	6.99283493166894	61.2034742283716
2498	302	27.8430857431832	6.18851938047336	11.4591660383494	42.1297416951621
2656	290	28.3134306182099	5.54195465266241	14.1894268218103	37.6292508985587
2737	338	30.0796812030447	8.21372469612599	10.4267885535592	50.3228234362291
2276	285	26.3298440640983	4.7029647322509	13.5479795570021	37.8972344855914
1941	168	24.9058436407535	4.29159334094162	16.7632744299708	34.1858748064339
1758	217	24.9054673018019	6.55753843776426	9.79783109197663	40.010451181964
2801	316	33.2881338050947	12.3424797574381	11.9665958885855	58.1068694555145
2093	191	25.6474382489728	5.2828322361154	13.0995810677119	34.5058166135871
2632	325	26.9192817418713	7.60695388607241	8.77042582950045	41.4155348037053
2736	357	28.8731204684248	8.77018068046081	8.33832630592244	45.7156104774543
1569	211	21.5067598248483	3.57598150623336	11.5316822266053	28.8663135014671
1981	282	24.6985653315314	4.71450766786888	12.674415680274	34.0646397028444
511	92	13.0498683982105	3.47247671334705	6.50262597820883	19.9576021541394
2331	312	27.9095348072215	7.52925411107111	10.4619086551521	44.1562957661267
2964	371	29.2954470689368	9.40524003415151	7.59398744032316	43.0457685147189
2359	381	26.4138902662422	6.72853752005376	8.45563426203366	39.1953396931373
1539	282	23.5775773806022	5.54032482076164	11.9026110281848	34.6731213013427
1358	248	21.1589741792273	6.38538030065065	4.9940016699537	33.7853239912782
905	121	16.828075396436	2.36893696259473	11.3040934406883	23.7873996005339
1364	217	19.9992735477264	3.78185863660535	10.5663741085635	27.8131249734418
1391	235	21.1104361409044	5.28647044630333	7.9049239429698	30.8967145742117
1143	210	16.9117593559044	6.22830318524593	0.507718207057617	28.7748346843403
1785	312	25.2761003488664	7.4051965637287	11.1212614406917	40.3517755416729
960	181	18.7451636031153	6.3584364568992	4.68230007003505	33.7297704499873
1691	270	23.1020827494236	7.64487242680016	3.52053158786848	36.3579131189468
