"s.area"	"s.perimeter"	"s.radius.mean"	"s.radius.sd"	"s.radius.min"	"s.radius.max"
14342	577	68.1168877332447	10.6715402559222	47.6874377195066	91.2468790119608
9174	464	57.0361428610845	12.9653516666883	31.6851775674709	80.5695648978384
8338	475	53.2101394513972	10.8185686405319	31.7325277332817	72.5053439085068
6323	527	46.0634915355885	12.7315852569154	21.6882956340192	70.30238837175
3478	278	33.5224463624362	5.8596737725679	21.5527567598215	46.5400318151815
2923	372	30.786388299973	6.54309519466431	16.4359024360967	43.2682203110885
2179	203	26.1498360246234	3.63793020454052	15.42136617768	34.7616204876014
1611	168	22.3572087640061	2.3449043783101	17.505324951111	27.7395749911857
2304	286	27.2474136345869	4.93012933885713	15.3678520401021	37.0091120243375
2518	270	27.7183281476936	5.02089236516723	14.1004241635215	37.5343758306786
3022	336	31.7634676740974	7.98784805087112	14.8199383095691	48.6953561888254
3950	418	36.0597246274836	10.9634681276036	15.5809681659647	59.0161851499965
1558	198	21.7646065169483	3.08021525832696	14.4935037817727	27.7859974064682
1709	200	23.9520760594551	4.94504069165029	14.6359019195948	36.3822707510127
1744	200	23.5786090521192	4.47892232209073	14.7732342430492	33.0969552980331
2422	271	27.7211986445205	7.6488444911545	10.4146890503468	45.130651569804
1220	152	19.3706119371617	3.45164773086764	10.9347825076818	25.4008080075747
1534	208	21.68155545066	4.44295509605023	9.07220583094619	31.1228507967374
1836	240	24.8094037961922	7.93878449447437	6.17441095930979	37.3806770586237
1000	133	17.7490063349157	2.72880959418944	12.268918954895	23.7615041419667
2793	393	26.8107666153773	9.31281207623239	1.07427662900433	41.4024359653319
1099	140	18.2129322127891	2.32765499234083	13.3528908434673	22.8635638302608
1243	187	18.3539733418524	6.11942101605584	3.26214166555662	26.5682425984524
956	125	17.2149772636167	3.687611396712	9.54934971608013	24.2597213504195
1314	182	20.6306117872282	4.86104818104903	12.2674294824938	30.3962067789308
983	136	16.8876145064247	3.37481238520545	6.80883941047576	22.8789975613391
1274	200	19.6075483548072	5.32576027566937	3.97559115101141	28.9718022394189
1262	173	19.8806072881689	5.06322600282663	5.5530333113412	28.9490941445364
1278	190	19.5136917814862	4.92416893550144	5.49305529825569	29.3053789509207
871	162	17.3853872603735	3.66067412881593	11.6092075808553	26.7899165094128
694	110	14.5951696653388	2.14576984439127	9.18864732533693	19.3605588676934
1343	211	20.4254471943478	7.15125530157647	4.01147530759419	34.9075555112896
1174	208	19.5914049137178	5.49999661720807	8.14230207159793	31.1173178092286
642	124	14.0475787239494	2.71586538959927	9.12675581442552	20.5074556250228
655	101	14.3296063892737	2.88455360942769	9.17676513437801	19.9177802183523
969	180	17.676638196172	4.32196647145689	7.81923277787328	26.3893152012348
618	112	13.6876679330342	3.22137527654487	6.86170444442582	20.4374687948336
550	86	13.035700844102	2.20432253673669	9.51142889426193	18.1531552919172
815	118	15.5599489631022	3.52261488302631	6.49154755052209	20.826674220629
659	103	14.8234157138304	3.74782018920218	7.80632032434715	21.5673880949764
829	138	15.6450542278836	4.64359624009997	3.63991789885966	23.9002095556335
692	145	14.6401201025563	3.79720294531827	7.03732870084644	23.0607861382201
802	136	15.6341863885809	3.5977656895263	7.58503195610185	22.2245307846671
452	78	11.6652692171788	1.83894470495616	7.57365758952466	15.9100446276118
642	134	14.6222370991076	3.82838666232126	7.13280599507182	21.808102605999
739	165	15.5395272234683	4.64742678960637	5.13487508599379	26.358776981623
